"S. No","Template Name","Template DLT ID","Header","Communication Type","Template Content","Template Creator","Template Created on","Template Status","Template Registered On Airtel (Y/N)","Template State"
"16","Sendlinksms_v2","'1007234393257501686","PYSWAP","Service Explicit","Welcome {#var#} Download {#var#} App from {#var#} and click on New User Validation to complete retailer onboarding process. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"17","AEPS Activation","'1007840274637948043","PYSWAP","Service Implicit","Dear {#var#},Your AEPS Services is activated. If you face any issue in AEPS please feel free to contact us. RegardsPayswap","airtel.com","20/09/2023","REGISTERED","Y","-"
"18","BBPS sUCESS aLL","'1007710395707237737","PYSWAP","Service Implicit","Your Payment of {#var#} Bill no.{#var#} regarding {#var#} is paid successfully on {#var#}. Ref No. is : {#var#}. The same will be initiated with the biller with 48hrs. Thanks for choosing Bharat Bill Payment Service through Payswap. RegardsPayswap","airtel.com","20/09/2023","REGISTERED","Y","-"
"19","BBPS PAYMENT","'1007066858900713887","PYSWAP","Service Implicit","Your {#var#} bill for {#var#} of Rs.{#var#} has been paid successfully on {#var#}. Billpay Ref. No. {#var#} . The Same will be initiated with the biller within 48 hrs. By Payswap","airtel.com","20/09/2023","REGISTERED","Y","-"
"20","Service Activation","'1007830981995276397","PYSWAP","Service Implicit","Dear {#var#},Your {#var#} Services is activated. If you face any issue please feel free to contact us. RegardsPayswap","airtel.com","21/09/2023","REGISTERED","Y","-"
"21","Aeps_v2","'1007097709326605933","PYSWAP","Service Implicit","Dear Customer, Your {#var#} of amount Rs. {#var#} is successful with UTR {#var#} using AEPS service from your bank account. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"22","Reg_otp","'1007640321725099860","PYSWAP","Service Implicit","Dear User, Your one time password for Payswap registration is {#var#}. Please do not share this OTP any one. Powered by PAYSWAP","airtel.com","11/08/2023","REGISTERED","Y","-"
"23","Welcome_Details","'1007888681420750291","PYSWAP","Service Implicit","Dear {#var#} Welcome to Payswap, Do not share your login otp. Your username {#var#} and password{#var#}. Thank You for connecting with us. Powered by PAYSWAP","airtel.com","11/08/2023","REGISTERED","Y","-"
"24","RemitterChangepin_v1","'1007458679203401111","PYSWAP","Service Implicit","Dear {#var#}, your PIN has been successfully changed.Please report immediately unauthorised access to customer care. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"25","AccVerifyApi_v2","'1007573878430763151","PYSWAP","Service Implicit","Dear {#var#}, your verification for account {#var#} is successful. We have received bene name as {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"26","RefundOTP_v2","'1007315384892581486","PYSWAP","Service Implicit","Dear {#var#} your txn Amt Rs {#var#} to acc {#var#} has been failed. Your OTP is {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"27","Aepsbalance_v2","'1007482042342658212","PYSWAP","Service Implicit","Hello Customer, Your {#var#} of amount {#var#} is successful. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"28","insufficientFund_v3","'1007709177323595795","PYSWAP","Service Implicit","Dear {#var#} You have insufficient fund in your account. Current Balance is Rs {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"29","billPaymentRefund","'1007119146812964855","PYSWAP","Service Implicit","Dear {#var#} your payment Amt Rs {#var#} for {#var#} number {#var#} Operator {#var#} has been failed. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"30","HmsmsCheque_v2","'1007281826433198061","PYSWAP","Service Implicit","Dear {#var#}, Cheque {#var#} amount Rs {#var#} is collected by {#var#} on {#var#} from {#var#} with transaction id {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"31","ReceivingMsg_v2","'1007482655106002430","PYSWAP","Service Implicit","Dear {#var#}, Please provide otp {#var#} to confirm cash pickup of Amount Rs. {#var#} by {#var#} collection agent of Sunset. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"32","Collected_v2","'1007169894027733846","PYSWAP","Service Implicit","Dear {#var#}, Cash pickup of Rs {#var#} is collected by {#var#} on {#var#} from {#var#} with transaction id {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"33","debitFund","'1007880898245239514","PYSWAP","Service Implicit","Amount Rs. {#var#} debited from your account {#var#} credited to {#var#} on {#var#} OpBal {#var#} ClBal {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"34","fundTransfer_v3","'1007090664113690721","PYSWAP","Service Implicit","Amount Rs {#var#} debited from your account {#var#} credited to {#var#} on {#var#} OpBal {#var#} ClBal {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"35","failedTxn_v3","'1007656179299503323","PYSWAP","Service Implicit","Dear {#var#} Amt Rs {#var#} transfer To acc {#var#} by retailer {#var#} txnno {#var#} has been refunded. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"36","regenerateOTP","'1007141008198087301","PYSWAP","Service Implicit","Your one time password is {#var#}. Please do not share this OTP any one. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"37","billPayment_v3","'1007809922778175248","PYSWAP","Service Implicit","Dear {#var#} your payment Amt Rs {#var#} received for {#var#} number {#var#} Operator {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"38","CollectionOtp_v2","'1007589324983548418","PYSWAP","Service Implicit","{#var#} OTP to verify cash pickup collection of Rs. {#var#} from {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"39","FundNotreceived_v2","'1007822797463271005","PYSWAP","Service Implicit","Dear {#var#} your fund request of Rs. {#var#} still not reflected in {#var#}. Kindly recheck. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"40","refunddmtTransaction","'1007779969321171487","PYSWAP","Service Implicit","Dear {#var#}. Transfer of Rs {#var#} to {#var#} has failed. Please use {#var#} to avail refund. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"41","addFund_v3","'1007600109746554556","PYSWAP","Service Implicit","Amount Rs {#var#} Credited to your account {#var#} on {#var#} OpBal {#var#} ClBal {#var#}. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"42","ValidateAccount_v22","'1007697922704078191","PYSWAP","Service Implicit","Welcome  {#var#}, Download {#var#} APP from {#var#} and click on New user Verification to complete your onboarding process. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"43","CreateAccount_v2","'1007455372970747342","PYSWAP","Service Implicit","Welcome  {#var#}, Do not share your login otp. Your username {#var#} and password {#var#}. Thank You for connecting with us. Powered by PAYSWAP","airtel.com","13/09/2022","REGISTERED","Y","-"
"44","RequestRejected_v2","'1007435769886081132","PYSWAP","Service Implicit","Dear {#var#} your fund request of Rs. {#var#} in {#var#} has been rejected. Kindly recheck. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
"45","successTxn_v3","'1007625867531398309","PYSWAP","Service Implicit","Dear {#var#} Amt Rs {#var#} transfer to account {#var#} at retailer {#var#} txnno {#var#} on {#var#} successful. Powered by PAYSWAP","airtel.com","21/10/2022","REGISTERED","Y","-"
